top,names
2,ARTADI ALAVA VIÑA EL PISON 2016
3,COMPAÑIA DE VINOS TELMO RODRIGUEZ RIOJA LAS BEATAS 2016
4,MUGA RIOJA ARO 2016
5,SIERRA CANTABRÍA RIOJA MÁGICO 2016
6,VEGA SICILIA RIBERA DEL DUERO UNICO 2010
7,MUGA RIOJA PRADO ENEA GRAN RESERVA 2011
8,MARQUÉS DE MURRIETA RIOJA CASTILLO YGAY GRAN RESERVA ESPECIAL 2010
9,ARTADI ALAVA LA POZA DE BALLESTEROS 2016
10,SIERRA CANTABRÍA RIOJA CVC
11,TERROIR AL LIMIT PRIORAT DITS DEL TERRA 2016
12,BODEGA LANZAGA RIOJA TABUERNIGA 2016
13,LA RIOJA ALTA RIOJA GRAN RESERVA 904 2010
14,ALVARO PALACIOS PRIORAT L'ERMITA 2017
15,MUGA RIOJA TORRE 2016
16,ARTADI ALAVA QUINTANILLA 2016
17,TERROIR AL LIMIT PRIORAT LES MANYES 2016
18,VEGA SICILIA RIBERA DEL DUERO RESERVA ESPECIAL UNICO
19,LUSTAU JEREZ OLOROSO VORS 30 YEARS OLD
20,BODEGA LANZAGA RIOJA LA ESTRADA 2016
21,VEGA SICILIA RIBERA DEL DUERO VALBUENA 5 2015
22,ENVÍNATE RIBEIRA SACRA LOUSAS PARCELA CAMIÑO NOVO VINOS ATLÁNTICOS 2017
23,LÓPEZ DE HEREDIA RIOJA RESERVA VIÑA TONDONIA WHITE 2007
24,CUNE RIOJA REAL DE AZÚA 2016
25,FERRER BOBET PRIORAT 20 2016
